^FINANCIAL,,05/21/2020,1136.5,1136.75,1123.09,1123.29
AUB,ASIA UNITED,05/21/2020,48.25,48.25,48.25,48.25
BDO,BDO UNIBANK,05/21/2020,93.1,93.2,92,92
BPI,BANK PH ISLANDS,05/21/2020,64,64.05,62.5,62.7
CHIB,CHINABANK,05/21/2020,19.38,19.4,19.28,19.3
CSB,CITYSTATE BANK,05/21/2020,8.44,8.44,8.44,8.44
EW,EAST WEST BANK,05/21/2020,7.06,7.15,7.02,7.05
MBT,METROBANK,05/21/2020,35,35.65,34.7,34.8
PBC,PBCOM,05/21/2020,17.5,19.48,17.2,19.48
PNB,PHIL NATL BANK,05/21/2020,20.45,20.75,20,20.05
PSB,PSBANK,05/21/2020,43.5,43.5,43.45,43.5
PTC,PHILTRUST,05/21/2020,116.8,116.8,108,108
RCB,RCBC,05/21/2020,16.2,16.2,15.2,15.42
SECB,SECURITY BANK,05/21/2020,85.25,86.4,85.25,85.8
UBP,UNION BANK,05/21/2020,54.7,54.7,53.7,53.95
COL,COL FINANCIAL,05/21/2020,16,16,15.6,15.6
FERRO,FERRONOUX HLDG,05/21/2020,2.45,2.45,2.45,2.45
I,IREMIT,05/21/2020,0.94,1.06,0.94,1.06
MED,MEDCO HLDG,05/21/2020,0.3,0.3,0.3,0.3
NRCP,NTL REINSURANCE,05/21/2020,0.66,0.66,0.66,0.66
PSE,PHIL STOCK EXCH,05/21/2020,169,169.7,169,169
^INDUSTRIAL,,05/21/2020,7295.68,7357.85,7267.08,7347.37
ACEPH,AC ENERGY,05/21/2020,2.21,2.22,2.16,2.16
AP,ABOITIZ POWER,05/21/2020,26.05,26.35,25.55,26.2
FGEN,FIRST GEN,05/21/2020,18.02,18.02,17.56,17.68
FPH,FIRST PHIL HLDG,05/21/2020,53,53.2,52.75,52.75
MER,MERALCO,05/21/2020,267.4,276,266,276
MWC,MANILA WATER,05/21/2020,11.9,11.9,11.7,11.72
PCOR,PETRON,05/21/2020,3.01,3.01,2.95,2.95
PERC,PETROENERGY,05/21/2020,2.39,2.46,2.38,2.46
PNX,PHX PETROLEUM,05/21/2020,11.4,11.4,11.32,11.32
SHLPH,PILIPINAS SHELL,05/21/2020,16.48,17.3,16.48,16.58
SPC,SPC POWER,05/21/2020,7.9,7.9,7.75,7.88
ANI,AGRINURTURE,05/21/2020,7.44,7.44,7.16,7.16
AXLM,AXELUM,05/21/2020,2.77,2.77,2.69,2.7
CAT,CNTRL AZUCARERA,05/21/2020,13.44,13.44,13.44,13.44
CNPF,CENTURY FOOD,05/21/2020,15.4,15.4,15.26,15.26
DELM,DEL MONTE,05/21/2020,3.96,3.96,3.96,3.96
DNL,DNL INDUS,05/21/2020,5,5,4.92,4.95
EMP,EMPERADOR,05/21/2020,7.78,7.78,7.63,7.7
FB,SMC FOODANDBEV,05/21/2020,62.5,63.5,62.05,62.15
FOOD,ALLIANCE SELECT,05/21/2020,0.54,0.55,0.54,0.55
FRUIT,FRUITAS HLDG,05/21/2020,1.31,1.32,1.3,1.32
GSMI,GINEBRA,05/21/2020,29.95,29.95,29.95,29.95
JFC,JOLLIBEE,05/21/2020,138,139,136.3,136.5
MAXS,MAXS GROUP,05/21/2020,5.65,5.7,5.6,5.64
MG,MG HLDG,05/21/2020,0.125,0.125,0.121,0.125
PIP,PEPSI COLA,05/21/2020,1.91,1.92,1.9,1.92
PIZZA,SHAKEYS PIZZA,05/21/2020,5.8,5.83,5.69,5.75
RCI,ROXAS AND CO,05/21/2020,1.66,1.77,1.66,1.73
SFI,SWIFT FOODS,05/21/2020,0.103,0.103,0.102,0.102
URC,UNIV ROBINA,05/21/2020,121.6,124.8,121.6,124.1
VITA,VITARICH,05/21/2020,0.79,0.81,0.79,0.81
VMC,VICTORIAS,05/21/2020,2.21,2.21,2.21,2.21
CA,CONCRETE A,05/21/2020,57.9,57.9,57.9,57.9
CHP,CEMEX HLDG,05/21/2020,1.09,1.09,1.06,1.09
